web_scraper_order,web_scraper_start_url,city,cost_of_living_index,rank,rent_index,cost_of_living_plus_rent_index,groceries_index,restaurant_price_index,local_purchasing_power_index
"1770902482-135","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Bratislava, Slovakia","54.5","135","22.9","40.4","52.9","49.9","82.1"
"1770902482-136","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Lisbon, Portugal","54.2","136","38.6","47.2","50.1","53.1","60.9"
"1770902482-137","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Zagreb, Croatia","53.7","137","20.2","38.8","51.9","54.7","98.4"
"1770902482-138","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Rijeka, Croatia","53.6","138","16.7","37.2","49.4","56.9","79.4"
"1770902482-139","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Oviedo, Spain","53.6","139","17.7","37.6","53.3","58.4","111.4"
"1770902482-140","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Warsaw, Poland","53.5","140","28.5","42.3","46.4","52.5","98.9"
"1770902482-141","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Thessaloniki, Greece","53.4","141","14.2","35.9","50.3","61.1","62.7"
"1770902482-142","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Brno, Czech Republic","53.2","142","22.6","39.6","50.7","43.6","93.4"
"1770902482-143","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Vilnius, Lithuania","53.0","143","20.1","38.3","45.9","58.3","96.3"
"1770902482-144","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Kaunas, Lithuania","52.7","144","13.6","35.2","49.7","59.0","84.1"
"1770902482-145","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Kosice, Slovakia","52.2","145","23.4","39.3","51.2","48.7","75.5"
